date,merchant,amount,category
2026-03-16,modify or unsubscribe from these alerts,8136.86,
2026-03-15,Supermarket,65.5,Groceries
2026-03-14,modify or unsubscribe from these alerts,8226.86,
2026-03-14,Monthly Rent,1200,Rent
2026-03-13,modify or unsubscribe from these alerts,8576.86,
2026-03-13,modify or unsubscribe from these alerts,8576.86,
2026-03-13,Electricity Bill,90.25,Utilities
2026-03-12,modify or unsubscribe from these alerts,10006.86,
2026-03-12,Bus Pass,40,Transport
2026-03-11,modify or unsubscribe from these alerts,218037.99,
2026-03-11,modify or unsubscribe from these alerts,10016.86,
2026-03-11,modify or unsubscribe from these alerts,218037.99,
2026-03-11,Streaming Subscription,15.99,Entertainment
2026-03-10,modify or unsubscribe from these alerts,10245.29,
2026-03-10,SI HGAKP089AA0756664657 Hdfc Mu-10,10000,
2026-03-10,SI HGAKP173B10756665222 Hdfc Mu-10,10000,
2026-03-10,SI HGAKP11EC60756665227 Hdfc Mu-10,10000,
2026-03-10,Company Payroll,3200,Salary
